qid,arrival,start,finish,runtime,status
5114,2751.22,2754.8,2794.9,40.06,ok
12982,2773.726,2787.8,2804.5,16.69,ok
26520,2755.508,2788.8,2854.9,66.14,ok
13640,2797.696,2818.8,2864.8,45.98,ok
26637,2819.134,2854.9,2869.0,14.09,ok
7565,2790.022,2809.3,2889.0,79.73,ok
25968,2825.441,2889.0,2898.7,9.67,ok
26614,2827.289,2898.7,2912.7,13.98,ok
12381,2821.078,2869.0,2935.1,66.1,ok
26373,2879.529,2935.1,2946.8,11.73,ok
9421,2849.501,2912.7,2992.9,80.16,ok
26749,2819.695,2864.8,3013.3,148.53,ok
25648,2936.215,3013.3,3030.0,16.61,ok
26668,2905.684,2992.9,3038.8,45.97,ok
26165,2946.348,3038.8,3052.2,13.37,ok
12849,2763.464,2797.4,3062.1,264.65,ok
12518,2905.667,2946.8,3065.2,118.35,ok
25937,2957.309,3052.2,3071.6,19.34,ok
9547,2945.513,3030.0,3099.2,69.26,ok
26201,2991.031,3071.6,3111.1,39.57,ok
26353,2982.279,3065.2,3148.2,82.98,ok
23470,2996.487,3111.1,3155.7,44.57,ok
15015,2998.593,3148.2,3165.3,17.14,ok
11598,2991.826,3099.2,3169.2,69.99,ok
10538,3003.689,3155.7,3174.0,18.34,ok
26712,3045.544,3169.2,3178.4,9.2,ok
25712,3045.984,3174.0,3181.6,7.57,ok
25464,3060.899,3178.4,3226.0,47.58,ok
14451,3035.599,3165.3,3257.0,91.73,ok
25752,3084.989,3181.6,3258.6,76.95,ok
4399,3109.334,3258.6,3276.1,17.49,ok
18457,3109.128,3257.0,3280.6,23.55,ok
10109,3103.546,3226.0,3307.1,81.1,ok
16494,3121.015,3280.6,3328.4,47.84,ok
10653,3148.637,3307.1,3339.0,31.86,ok
10506,3150.443,3328.4,3350.8,22.39,ok
25279,3117.198,3276.1,3358.8,82.77,ok
4601,3210.172,3350.8,3379.5,28.67,ok
4693,3212.68,3358.8,3388.5,29.69,ok
14569,3253.148,3379.5,3407.5,27.94,ok
7488,3276.658,3407.5,3433.1,25.67,ok
23711,3258.325,3388.5,3456.5,67.97,ok
26426,3294.593,3456.5,3479.6,23.04,ok
25834,3304.18,3479.6,3484.9,5.34,ok
7559,3194.522,3339.0,3493.5,154.54,ok
17922,3284.712,3433.1,3510.6,77.44,ok
25545,3313.333,3484.9,3510.6,25.73,ok
25831,3318.849,3510.6,3528.7,18.16,ok
26818,3353.144,3528.7,3532.7,3.95,ok
8925,3332.57,3510.6,3534.5,23.88,ok
17970,3356.431,3534.5,3541.2,6.64,ok
3609,2971.927,3062.1,3562.8,500.69,ok
11028,3355.345,3532.7,3583.2,50.53,ok
26382,3413.786,3583.2,3586.1,2.85,ok
26276,3437.033,3586.1,3593.3,7.25,ok
10601,3441.696,3593.3,3602.5,9.15,ok
7609,3315.677,3493.5,3624.0,130.45,ok
15906,3441.735,3602.5,3624.7,22.22,ok
7857,3461.157,3624.0,3642.3,18.38,ok
5216,3378.651,3541.2,3643.5,102.32,ok
10543,3407.556,3562.8,3668.4,105.62,ok
11844,3501.421,3642.3,3697.9,55.53,ok
25831,3556.54,3697.9,3705.9,7.98,ok
13012,3488.411,3624.7,3706.7,82.0,ok
25834,3572.537,3706.7,3711.8,5.08,ok
11334,3566.475,3705.9,3730.1,24.29,ok
17922,3517.6,3643.5,3746.3,102.84,ok
20054,3601.227,3730.1,3758.4,28.28,ok
26040,3547.666,3668.4,3768.6,100.15,ok
26439,3641.74,3746.3,3776.3,29.96,ok
8309,3672.297,3758.4,3779.4,20.99,ok
25714,3742.906,3779.4,3796.6,17.15,ok
4693,3731.57,3768.6,3805.4,36.86,ok
26718,3771.976,3796.6,3815.6,19.0,ok
26720,3785.655,3815.6,3828.8,13.23,ok
7787,3795.263,3828.8,3846.1,17.31,ok
15150,3735.663,3776.3,3861.6,85.32,ok
26479,3839.165,3906.0,3919.0,12.99,ok
9990,3831.965,3900.9,3930.7,29.79,ok
15010,3779.911,3873.6,3960.2,86.6,ok
13132,3594.124,3779.9,3961.1,181.14,ok
26022,3906.035,3979.6,4016.4,36.82,ok
18457,3945.451,3997.0,4028.4,31.41,ok
26373,3998.137,4038.5,4058.6,20.02,ok
26614,4000.161,4050.5,4064.8,14.25,ok
25315,4050.599,4058.6,4076.2,17.66,ok
4601,3947.926,4029.8,4094.6,64.82,ok
10229,4058.238,4086.0,4102.9,16.86,ok
14738,4087.782,4123.8,4142.8,18.99,ok
9953,4123.975,4142.8,4152.2,9.35,ok
9614,4124.207,4152.2,4163.7,11.55,ok
7436,4126.542,4163.7,4175.3,11.6,ok
7565,4056.651,4095.6,4175.4,79.88,ok
25435,4086.206,4149.5,4213.3,63.79,ok
9057,3929.616,4084.7,4239.4,154.77,ok
11482,4210.997,4230.3,4244.6,14.33,ok
11769,4209.83,4235.7,4255.2,19.53,ok
10319,4253.075,4258.0,4290.0,32.04,ok
25384,4238.432,4255.7,4303.9,48.15,ok
17168,4233.813,4250.6,4315.7,65.19,ok
25425,4261.93,4303.9,4327.1,23.19,ok
26660,4284.735,4327.1,4344.1,16.98,ok
26112,4267.905,4315.7,4344.5,28.76,ok
23711,4157.253,4249.8,4381.1,131.27,ok
15243,4342.408,4365.7,4392.3,26.56,ok
25631,4260.674,4316.5,4431.8,115.38,ok
26210,4357.193,4395.1,4443.8,48.71,ok
26256,4399.997,4431.8,4462.0,30.11,ok
13805,4411.678,4443.8,4474.8,31.07,ok
25320,4426.092,4462.0,4499.2,37.26,ok
18011,4447.405,4499.2,4505.2,5.96,ok
7488,4430.105,4474.8,4530.6,55.74,ok
26787,4389.957,4397.5,4553.0,155.46,ok
10653,4457.779,4553.0,4596.8,43.83,ok
26522,4296.176,4370.5,4633.2,262.74,ok
26810,4536.692,4633.2,4644.2,10.97,ok
10109,4456.358,4530.6,4656.5,125.87,ok
25871,4554.947,4644.2,4661.2,16.97,ok
12050,4559.265,4661.2,4665.2,4.06,ok
25968,4564.604,4665.2,4675.0,9.76,ok
25783,4565.045,4675.0,4703.0,27.98,ok
10543,4515.262,4596.8,4732.1,135.29,ok
4291,4571.793,4732.1,4741.6,9.49,ok
25498,4570.926,4703.0,4754.9,51.9,ok
25397,4452.487,4505.2,4763.6,258.37,ok
25882,4578.451,4741.6,4764.9,23.3,ok
26025,4556.536,4656.5,4773.0,116.53,ok
26783,4616.243,4773.0,4784.4,11.38,ok
26456,4619.221,4784.4,4798.2,13.84,ok
4741,4591.101,4763.6,4805.3,41.75,ok
15049,4586.901,4754.9,4815.1,60.18,ok
13458,4622.108,4798.2,4816.2,17.98,ok
26005,4599.067,4764.9,4816.3,51.33,ok
26805,4636.213,4805.3,4819.1,13.81,ok
15832,4643.445,4815.1,4840.2,25.13,ok
25344,4660.684,4816.2,4854.3,38.12,ok
6373,4688.1,4840.2,4854.3,14.13,ok
26067,4712.569,4854.3,4878.1,23.73,ok
4383,4729.056,4878.1,4885.9,7.8,ok
26496,4763.432,4885.9,4899.5,13.66,ok
25629,4671.011,4816.3,4909.8,93.5,ok
17817,4772.821,4899.5,4928.0,28.49,ok
5114,4789.773,4928.0,4959.7,31.59,ok
15697,4777.909,4909.8,4970.0,60.23,ok
8569,4834.495,4970.0,4983.6,13.6,ok
26658,4703.338,4854.3,4993.1,138.77,ok
4399,4790.924,4959.7,5003.9,44.28,ok
14674,4954.805,5003.9,5014.1,10.18,ok
25545,4900.409,4983.6,5024.2,40.56,ok
11082,4905.741,4993.1,5052.5,59.36,ok
14051,4986.938,5097.4,5121.6,24.18,ok
12849,4684.137,4864.1,5129.1,265.0,ok
9876,5097.57,5121.6,5135.0,13.41,ok
12982,5126.364,5129.1,5145.2,16.12,ok
11968,4972.388,5059.1,5150.6,91.49,ok
12518,4981.543,5069.1,5152.1,82.92,ok
9000,5141.93,5163.6,5179.2,15.57,ok
11810,5135.26,5158.3,5180.3,22.03,ok
8812,5147.192,5176.7,5219.7,42.97,ok
13237,5192.131,5219.7,5250.5,30.83,ok
14904,5199.689,5250.5,5269.6,19.15,ok
7609,5128.056,5159.7,5280.8,121.11,ok
25577,5199.811,5269.6,5287.6,17.98,ok
26414,5165.215,5209.9,5315.3,105.4,ok
26508,5165.548,5238.8,5355.3,116.48,ok
12305,5343.192,5363.5,5383.3,19.77,ok
17034,5252.452,5349.8,5407.8,58.05,ok
25279,5229.855,5360.5,5441.7,81.14,ok
26749,5306.97,5382.2,5461.4,79.23,ok
26240,5425.517,5447.9,5461.4,13.52,ok
25977,5363.7,5428.8,5487.7,58.91,ok
12343,5447.942,5476.1,5500.2,24.06,ok
17332,5476.152,5487.7,5508.5,20.77,ok
