qid,start,runtime,status
12941,6259.1,21.44,ok
14043,6080.3,240.19,ok
20789,6231.0,92.66,ok
15022,6324.1,3.33,ok
10125,6321.1,24.3,ok
10759,6345.7,7.66,ok
17817,6353.8,16.57,ok
11810,6370.7,19.11,ok
13135,6390.2,11.73,ok
12107,6281.1,126.54,ok
16386,6402.4,20.5,ok
25425,6423.3,15.26,ok
12508,6327.8,112.62,ok
13503,6438.9,18.97,ok
15567,6440.8,19.63,ok
12647,6458.4,16.52,ok
13597,6408.2,101.49,ok
13026,6475.4,46.18,ok
15574,6510.0,23.69,ok
25679,6534.1,26.62,ok
5463,6460.8,147.25,ok
11889,6608.4,600,penalty
18465,6561.1,55.8,ok
7316,6521.9,147.75,ok
18934,6617.3,132.67,ok
15010,6750.5,38.42,ok
5310,6789.3,600,penalty
25287,6679.2,600,penalty
25287,6670.1,600,penalty
5310,6871.4,600,penalty
15010,6869.0,55.28,ok
25287,6864.9,600,penalty
10110,6924.7,15.95,ok
12096,6940.9,1.64,ok
15015,6942.9,10.92,ok
17856,6954.1,1.65,ok
10316,6956.1,9.55,ok
10316,6969.0,20.89,ok
20103,6969.8,25.2,ok
14695,6993.2,4.28,ok
15300,7001.4,5.71,ok
15300,7002.7,13.18,ok
12991,7000.8,29.33,ok
14203,7016.4,21.89,ok
25545,7030.5,25.35,ok
14628,7038.7,600,penalty
25700,7007.4,600,penalty
10722,7056.2,600,penalty
10722,7151.9,600,penalty
10722,7158.8,600,penalty
14628,7156.5,600,penalty
14628,7225.5,600,penalty
10722,7226.8,600,penalty
25545,7225.5,600,penalty
10722,7319.2,600,penalty
25545,7313.7,600,penalty
14628,7316.3,39.6,ok
17919,7356.3,1.82,ok
19935,7358.4,32.19,ok
18602,7390.9,50.92,ok
18602,7400.0,65.05,ok
10368,7465.5,2.35,ok
7026,7468.2,10.7,ok
25304,7479.3,600,penalty
19935,7396.1,129.57,ok
25501,7442.1,165.41,ok
6107,7526.1,82.95,ok
11446,7609.6,600,penalty
14370,7610.9,600,penalty
6107,7569.7,600,penalty
14370,7685.6,18.7,ok
15614,7704.7,21.43,ok
8139,7726.5,10.03,ok
11446,7684.7,70.47,ok
3924,7737.0,20.84,ok
6107,7684.6,109.83,ok
11469,7755.5,39.88,ok
13516,7794.9,7.03,ok
15619,7802.4,12.76,ok
25498,7796.0,29.56,ok
6553,7815.7,11.36,ok
13587,7826.1,11.59,ok
25279,7758.2,81.68,ok
11227,7827.7,27.07,ok
4291,7840.3,18.44,ok
14578,7855.2,600,penalty
11341,7838.3,600,penalty
7559,7859.2,600,penalty
14578,7921.1,16.23,ok
4291,7920.7,23.75,ok
14830,7944.9,12.37,ok
7559,7924.4,35.75,ok
9876,7938.1,25.78,ok
12827,7960.8,17.45,ok
14725,7978.6,600,penalty
23470,7957.7,600,penalty
13438,7964.3,600,penalty
12827,8041.0,16.77,ok
11740,8058.1,600,penalty
13438,8041.0,600,penalty
14725,8044.0,600,penalty
13438,8120.9,600,penalty
14725,8121.7,600,penalty
11740,8120.9,600,penalty
14725,8212.3,600,penalty
11740,8213.0,600,penalty
13438,8212.2,66.5,ok
13341,8287.7,600,penalty
11740,8283.8,600,penalty
13341,8279.1,17.23,ok
13123,8296.6,26.08,ok
25340,8323.0,6.89,ok
25313,8330.2,6.85,ok
25313,8361.0,10.67,ok
10639,8375.0,600,penalty
13932,8364.0,600,penalty
13932,8337.4,600,penalty
25313,8465.6,12.33,ok
10639,8471.6,600,penalty
13932,8465.6,600,penalty
25413,8478.7,600,penalty
25413,8561.7,600,penalty
13932,8555.6,600,penalty
10639,8558.8,600,penalty
10639,8642.1,600,penalty
25413,8642.6,600,penalty
13932,8642.1,600,penalty
25413,8734.3,600,penalty
13932,8727.2,600,penalty
10639,8730.4,27.61,ok
5069,8758.4,11.99,ok
8178,8770.7,11.15,ok
25414,8782.1,9.16,ok
25531,8791.6,3.93,ok
25531,8813.6,8.8,ok
12467,8795.9,41.68,ok
10817,8838.0,19.03,ok
5080,8857.4,600,penalty
12877,8822.7,600,penalty
12467,8819.3,600,penalty
10817,8923.9,17.79,ok
5080,8926.9,17.75,ok
6279,8942.0,600,penalty
12877,8920.8,600,penalty
10526,8951.4,1.92,ok
25369,8959.6,24.65,ok
8447,8990.6,9.68,ok
14710,9006.6,21.4,ok
8447,9007.1,21.17,ok
14710,9010.1,18.22,ok
14319,9028.3,43.06,ok
2895,9071.7,22.75,ok
7308,9094.8,9.06,ok
16494,9028.7,77.2,ok
11215,9028.6,107.48,ok
25487,9136.7,9.78,ok
8487,9106.3,600,penalty
13229,9147.2,600,penalty
15063,9104.4,600,penalty
25487,9222.6,11.75,ok
13229,9222.6,600,penalty
6705,9234.9,600,penalty
8487,9222.6,600,penalty
25487,9307.1,11.12,ok
6705,9313.6,24.87,ok
7605,9338.7,3.53,ok
12190,9318.9,34.64,ok
6158,9354.0,3.13,ok
7258,9357.5,600,penalty
10340,9342.6,600,penalty
13229,9310.2,600,penalty
6158,9425.0,4.73,ok
11216,9431.2,600,penalty
7258,9430.0,600,penalty
10340,9425.0,600,penalty
6158,9510.2,2.79,ok
10199,9517.6,22.58,ok
7258,9513.0,30.87,ok
5123,9540.5,7.44,ok
10906,9548.5,600,penalty
11216,9513.3,600,penalty
9501,9544.3,600,penalty
5123,9612.2,7.79,ok
11095,9620.5,600,penalty
9501,9612.2,600,penalty
10906,9612.9,26.58,ok
15126,9639.8,2.22,ok
8678,9642.3,7.15,ok
11163,9649.8,26.46,ok
11163,9694.2,30.89,ok
10439,9725.4,26.27,ok
11807,9752.0,28.55,ok
13486,9780.8,2.72,ok
13575,9783.9,2.36,ok
14364,9676.6,128.99,ok
6727,9786.6,19.98,ok
12855,9805.9,4.95,ok
14364,9694.8,116.83,ok
11541,9806.9,9.01,ok
10375,9811.6,33.44,ok
14250,9845.5,42.87,ok
10796,9816.2,75.36,ok
9702,9891.9,13.93,ok
5765,9906.4,4.92,ok
16853,9812.2,118.63,ok
13877,9911.6,26.55,ok
14691,9931.3,10.93,ok
9792,9942.6,3.49,ok
17789,9888.9,60.72,ok
12380,9938.5,17.85,ok
9792,11000.0,6.36,ok
23725,11006.9,600,penalty
11764,11000.0,600,penalty
13678,11000.0,600,penalty
23725,11084.1,20.4,ok
7586,11104.9,2.6,ok
7586,11123.7,2.71,ok
15954,11107.8,33.25,ok
11028,11141.4,30.55,ok
15351,11131.9,73.46,ok
15954,11128.9,84.16,ok
15662,11213.5,2.59,ok
13055,11216.4,27.12,ok
12156,11244.1,8.65,ok
11628,11253.1,10.0,ok
22447,11263.4,7.35,ok
6064,11172.3,123.64,ok
9726,11296.4,2.95,ok
11631,11205.8,97.5,ok
2843,11303.6,28.95,ok
25353,11332.9,21.0,ok
3501,11354.3,600,penalty
14362,11299.8,600,penalty
25672,11271.1,600,penalty
25353,11430.5,25.79,ok
2843,11430.5,600,penalty
17875,11456.7,600,penalty
3501,11430.5,600,penalty
17875,11555.7,600,penalty
3501,11549.5,600,penalty
3501,11544.1,600,penalty
25353,11627.6,23.27,ok
16849,11651.4,16.58,ok
25600,11668.4,600,penalty
3501,11632.7,600,penalty
17875,11637.8,600,penalty
16849,11732.3,19.27,ok
25600,11737.1,33.2,ok
18059,11770.7,12.03,ok
13949,11783.1,9.45,ok
17875,11732.0,73.59,ok
12150,11793.1,18.27,ok
7141,11805.9,6.1,ok
25206,11811.7,17.17,ok
17793,11829.1,6.61,ok
19031,11752.0,86.78,ok
25505,11812.4,29.46,ok
12829,11836.4,8.6,ok
10569,11845.5,21.99,ok
15093,11867.9,2.07,ok
11614,11839.1,40.37,ok
13808,11870.4,17.27,ok
25642,11888.3,10.1,ok
5780,11842.1,56.33,ok
17471,11899.3,38.73,ok
17163,11879.9,63.36,ok
8706,11943.9,600,penalty
16434,11898.7,600,penalty
7205,11938.5,600,penalty
7205,12006.0,23.86,ok
8706,12016.0,15.8,ok
11928,12030.2,25.76,ok
13837,12056.3,4.09,ok
17471,12006.0,68.98,ok
14308,12060.8,18.47,ok
14160,12079.7,7.39,ok
19605,12087.5,13.67,ok
12959,12101.6,105.87,ok
25441,12208.0,6.51,ok
25397,12032.2,202.91,ok
25737,12235.4,600,penalty
12878,12214.9,600,penalty
7356,12075.4,600,penalty
25441,12301.5,6.88,ok
25737,12309.1,600,penalty
12878,12306.7,600,penalty
8218,12312.8,600,penalty
25737,12392.5,600,penalty
8218,12393.3,600,penalty
12878,12392.4,600,penalty
25737,12485.7,600,penalty
12878,12480.7,600,penalty
25737,12573.7,39.76,ok
17832,12613.9,1.86,ok
10189,12616.2,32.38,ok
8218,12490.7,181.1,ok
10866,12672.3,8.9,ok
13237,12681.5,25.72,ok
15679,12707.6,84.12,ok
12077,12792.2,16.4,ok
25496,12809.1,600,penalty
17990,12649.0,600,penalty
8218,12577.5,600,penalty
12077,12873.0,600,penalty
25496,12873.8,600,penalty
15679,12873.0,600,penalty
12077,12948.3,600,penalty
25496,12953.4,600,penalty
15679,12948.2,600,penalty
25496,13033.6,600,penalty
12077,13028.6,600,penalty
15679,13023.6,600,penalty
25496,13109.4,600,penalty
15679,13099.7,600,penalty
12077,13104.7,600,penalty
25496,13185.2,600,penalty
12077,13175.7,600,penalty
15679,13175.2,600,penalty
25496,13261.1,600,penalty
12077,13256.3,20.03,ok
12846,13276.8,7.43,ok
13406,13284.7,17.8,ok
9593,13302.9,3.26,ok
15679,13251.2,83.65,ok
11719,13306.6,91.58,ok
17966,13398.6,22.3,ok
11855,13421.4,5.99,ok
11719,13335.3,99.2,ok
25562,13427.8,23.66,ok
25765,13435.0,18.88,ok
25714,13454.3,15.55,ok
4383,13452.1,17.99,ok
13276,13471.5,14.31,ok
25666,13470.2,21.08,ok
10818,13486.2,5.23,ok
15409,13491.8,21.69,ok
8053,13491.6,38.92,ok
25342,13514.3,18.65,ok
16206,13533.4,4.27,ok
9956,13538.1,38.43,ok
6388,13577.0,11.56,ok
15077,13589.0,11.46,ok
10128,13530.8,130.49,ok
16846,13661.6,2.69,ok
14677,13336.9,352.91,ok
13593,13690.2,20.06,ok
12839,13664.6,600,penalty
11883,13710.7,600,penalty
13593,13799.2,78.91,ok
11883,13799.2,79.59,ok
25457,13600.8,309.75,ok
19262,13878.8,55.02,ok
16563,13910.9,28.62,ok
14553,13879.4,72.53,ok
15243,13940.0,18.71,ok
8004,13952.4,19.21,ok
10334,13934.2,43.29,ok
25372,13959.1,18.39,ok
25315,13972.1,13.95,ok
13790,13977.8,24.75,ok
25426,14002.9,600,penalty
10867,13977.8,600,penalty
10122,13986.5,600,penalty
13790,14066.0,2.95,ok
10122,14069.3,600,penalty
25426,14071.1,600,penalty
11100,14076.1,19.49,ok
15338,14095.9,7.69,ok
14716,14103.9,2.31,ok
3969,14106.5,43.81,ok
13423,14151.0,34.18,ok
13423,14162.3,32.35,ok
14018,14195.6,6.32,ok
3969,14147.7,73.82,ok
12137,14212.3,9.33,ok
15906,14199.9,59.17,ok
12381,14221.8,38.81,ok
10350,14259.6,6.76,ok
14471,14260.9,6.17,ok
5055,14267.4,3.4,ok
16233,14222.1,57.13,ok
9076,14279.7,5.71,ok
3836,14271.2,37.35,ok
13813,14309.0,22.88,ok
11912,14332.3,600,penalty
14996,14286.3,600,penalty
11052,14266.7,121.48,ok
9968,14388.5,9.0,ok
