qid,arrival,start,finish,runtime,status,slowdown_pred,raw_score,predicted_slowdown
20054,2506.064,2570.4,2594.1,23.7,ok,0.615,0.615,0.442
18011,2555.178,2594.1,2601.1,7.01,ok,1.077,1.077,0.882
13216,2268.13,2388.9,2653.5,264.58,ok,1.785,2.262,2.227
11778,2550.289,2641.9,2666.1,24.17,ok,3.558,3.558,2.741
25384,2541.532,2632.2,2685.8,53.59,ok,1.339,1.339,1.089
13458,2650.633,2717.9,2740.1,22.22,ok,3.14,3.14,2.9
8309,2675.883,2728.0,2742.7,14.64,ok,1.812,2.055,1.954
13012,2527.666,2637.4,2749.9,112.51,ok,0.464,0.464,0.425
17856,2728.016,2740.1,2753.6,13.41,ok,4.471,4.471,4.202
15078,2737.539,2742.7,2756.6,13.96,ok,4.551,4.813,4.688
7073,2642.045,2705.3,2771.3,66.0,ok,1.625,1.625,1.532
11439,2752.878,2753.6,2771.8,18.18,ok,0.313,0.313,0.312
25804,2745.412,2749.9,2788.8,38.86,ok,2.433,4.769,4.66
5114,2751.22,2756.6,2805.5,48.82,ok,1.324,1.324,1.288
12982,2773.726,2788.8,2808.7,19.89,ok,4.134,4.134,3.827
26520,2755.508,2782.2,2839.9,57.75,ok,1.595,1.595,1.468
13640,2797.696,2815.9,2873.1,57.18,ok,1.222,1.222,1.174
26637,2819.134,2873.2,2886.8,13.69,ok,0.875,0.875,0.663
7565,2790.022,2819.1,2899.3,80.24,ok,1.564,1.564,1.421
26614,2827.289,2899.4,2914.0,14.64,ok,1.034,1.034,0.714
25968,2825.441,2914.1,2924.1,9.98,ok,1.217,1.217,0.773
26373,2879.529,2924.1,2936.6,12.44,ok,1.053,1.053,0.838
12381,2821.078,2886.9,2961.9,75.03,ok,1.255,1.255,0.896
26165,2946.348,2962.0,2975.3,13.34,ok,0.452,0.452,0.417
26749,2819.695,2840.0,2996.3,156.29,ok,0.496,0.496,0.447
12849,2763.464,2781.7,3026.6,244.9,ok,0.679,0.679,0.652
12518,2905.667,2936.6,3041.3,104.67,ok,0.95,0.95,0.811
9547,2945.513,3026.7,3076.2,49.51,ok,0.823,0.823,0.543
26353,2982.279,2996.4,3092.5,96.18,ok,0.422,0.422,0.393
9421,2849.501,3041.4,3098.0,56.6,ok,1.385,1.385,0.518
25464,3060.899,3076.4,3118.9,42.53,ok,0.479,0.479,0.442
25937,2957.309,3092.7,3120.6,27.98,ok,0.944,0.944,0.472
26668,2905.684,3098.1,3134.4,36.33,ok,1.215,1.215,0.453
25648,2936.215,3120.8,3150.1,29.34,ok,1.123,1.123,0.436
26712,3045.544,3150.3,3153.8,3.5,ok,0.585,0.585,0.342
25712,3045.984,3154.0,3157.8,3.8,ok,0.617,0.617,0.355
11598,2991.826,3119.1,3221.0,101.94,ok,0.846,0.846,0.441
25752,3084.989,3157.9,3228.1,70.14,ok,0.582,0.582,0.4
14451,3035.599,3134.6,3228.9,94.38,ok,0.788,0.788,0.475
26201,2991.031,3228.2,3254.3,26.06,ok,1.191,1.191,0.353
15015,2998.593,3254.4,3273.2,18.77,ok,1.258,1.258,0.339
16494,3121.015,3229.1,3278.3,49.19,ok,0.717,0.717,0.412
18457,3109.128,3273.4,3286.3,12.9,ok,0.775,0.775,0.334
10109,3103.546,3278.4,3310.9,32.41,ok,0.779,0.779,0.318
10538,3003.689,3286.4,3310.9,24.45,ok,1.876,1.876,0.44
25279,3117.198,3221.2,3314.8,93.64,ok,0.658,0.658,0.387
4399,3109.334,3311.0,3340.2,29.23,ok,1.029,1.029,0.366
25831,3318.849,3340.4,3349.9,9.48,ok,0.28,0.28,0.251
3609,2971.927,2975.4,3357.9,382.46,ok,0.629,0.629,0.618
25545,3313.333,3314.9,3358.8,43.82,ok,0.356,0.356,0.353
7559,3194.522,3350.0,3367.4,17.42,ok,0.818,0.818,0.369
10506,3150.443,3358.1,3408.5,50.46,ok,1.335,1.335,0.461
10653,3148.637,3367.6,3414.5,46.91,ok,1.312,1.312,0.427
25834,3304.18,3414.6,3420.5,5.85,ok,0.687,0.687,0.39
4601,3210.172,3408.6,3448.3,39.6,ok,1.132,1.132,0.409
4693,3212.68,3420.6,3449.0,28.4,ok,1.194,1.194,0.411
23711,3258.325,3311.1,3472.3,161.17,ok,0.503,0.503,0.384
7488,3276.658,3449.2,3504.9,55.71,ok,0.971,0.971,0.401
26818,3353.144,3505.0,3508.1,3.07,ok,0.667,0.667,0.306
7609,3315.677,3359.0,3520.4,161.44,ok,0.577,0.577,0.463
17970,3356.431,3520.6,3525.6,5.05,ok,0.721,0.721,0.311
8925,3332.57,3525.8,3541.0,15.18,ok,0.929,0.929,0.345
14569,3253.148,3508.3,3566.9,58.66,ok,1.174,1.174,0.317
25831,3556.54,3567.1,3575.4,8.29,ok,0.291,0.291,0.276
26382,3413.786,3575.5,3578.4,2.89,ok,0.629,0.629,0.275
26426,3294.593,3541.1,3591.4,50.33,ok,1.154,1.154,0.326
5216,3378.651,3472.4,3597.1,124.69,ok,0.461,0.461,0.285
17922,3284.712,3448.4,3611.4,162.95,ok,0.859,0.859,0.371
11844,3501.421,3591.5,3627.1,35.56,ok,0.47,0.47,0.296
11028,3355.345,3611.5,3656.7,45.17,ok,1.169,1.169,0.315
26276,3437.033,3656.8,3663.0,6.17,ok,1.204,1.204,0.39
10601,3441.696,3663.1,3673.1,9.98,ok,1.264,1.264,0.406
25834,3572.537,3673.2,3678.8,5.55,ok,0.666,0.666,0.398
7857,3461.157,3678.8,3695.8,16.94,ok,1.238,1.238,0.405
13012,3488.411,3578.5,3698.0,119.48,ok,0.455,0.455,0.287
