query_order,qid,arrival_time_s,estimated_runtime_s
319,14370,7484.619,10.82
320,15614,7491.242,3.42
321,8139,7492.033,7.32
322,3924,7494.399,15.45
323,11469,7509.592,24.23
324,25279,7511.831,49.57
325,13516,7512.437,4.42
326,25498,7512.793,17.15
327,15619,7516.178,5.82
328,6553,8080.944,3.42
329,13587,8095.532,5.12
330,11227,8106.572,36.84
331,11341,8110.434,8.12
332,4291,8111.694,26.81
333,14578,8113.947,9.92
334,7559,8118.084,46.18
335,9876,8120.812,14.33
336,14830,8121.114,11.03
337,23470,8123.501,15.63
338,12827,8124.418,6.62
339,13438,8124.504,62.27
340,14725,8124.766,27.94
341,11740,8124.86,21.43
342,13341,8124.874,9.92
343,13123,8125.262,26.34
344,25340,8126.136,7.12
345,25313,8126.505,6.93
346,13932,8126.855,52.43
347,10639,8128.045,13.43
348,25413,8128.14,20.4
349,5069,8128.173,11.83
350,8178,8128.43,30.85
351,25414,8128.505,9.63
352,25531,8128.768,4.13
353,12467,8130.184,21.93
354,12877,8130.206,17.53
355,10817,8133.408,2.82
356,5080,8133.808,8.72
357,6279,8136.182,43.75
358,10526,8136.887,2.62
359,25369,8137.208,23.45
360,8447,8138.568,9.62
361,14710,8140.662,51.62
362,14319,8141.208,15.43
363,11215,8142.352,39.65
364,16494,8147.645,48.45
365,2895,8148.597,18.18
366,7308,8151.636,7.62
367,15063,8152.103,124.32
368,8487,8153.164,36.24
369,25487,8156.337,7.14
370,13229,8156.866,34.84
371,6705,8160.52,9.42
372,12190,8161.063,4.02
373,7605,8162.034,3.02
374,10340,8165.149,21.73
375,6158,8165.748,2.92
376,7258,8167.645,12.72
377,11216,8168.305,29.84
378,10199,8168.756,2.82
379,5123,8171.984,3.31
380,9501,8173.246,16.33
381,10906,8173.808,10.42
382,11095,8176.523,2.72
383,15126,8178.63,2.42
384,8678,8179.681,7.42
385,11163,8182.37,26.74
386,14364,8183.657,104.6
387,10439,8185.14,23.74
388,11807,8188.93,32.95
389,13486,8189.813,4.42
390,13575,8192.045,3.42
391,6727,8192.666,16.52
392,12855,8196.035,4.72
393,11541,8196.314,20.13
394,10375,8201.845,2.72
395,16853,8203.011,47.67
396,10796,8205.455,66.17
397,14250,8211.533,6.32
398,17789,8213.846,51.34
399,9702,8216.114,3.52
400,5765,8216.762,54.22
401,13877,8218.232,23.74
402,14691,8219.137,4.22
403,12380,8221.285,9.12
404,9792,8223.375,2.82
405,11764,9963.915,63.43
406,13678,9965.733,20.13
407,23725,9970.391,22.33
408,7586,9975.798,2.62
409,15954,9979.117,27.15
410,15351,9983.862,50.84
411,11028,10501.049,14.73
412,6064,10522.437,43.85
413,11631,10529.853,24.34
414,15662,10554.182,2.52
415,13055,10555.842,3.12
416,12156,10561.755,6.12
417,11628,10565.708,6.82
418,22447,10585.031,9.09
419,25672,10599.366,88.11
420,9726,10601.505,2.52
421,14362,10601.931,57.53
422,2843,10602.288,21.23
423,25353,10602.495,24.11
424,3501,10603.373,27.17
425,17875,10604.255,17.93
426,16849,10604.753,5.92
427,25600,10608.957,17.04
428,19031,10610.571,20.23
429,18059,10612.765,3.32
430,13949,10616.767,9.42
431,12150,10616.946,9.43
432,7141,10617.172,5.02
433,25206,10619.187,8.02
