qid,arrival,start,finish,runtime,status,predicted_slowdown
25324,2530.555,2598.4,2646.6,48.2,ok,7.767
13216,2268.13,2423.7,2653.2,229.48,ok,6.534
20054,2506.064,2608.8,2699.7,90.93,ok,8.018
18011,2555.178,2681.6,2733.9,52.27,ok,8.757
26040,2445.322,2607.6,2737.7,130.03,ok,7.399
11778,2550.289,2700.0,2762.9,62.95,ok,6.237
25384,2541.532,2659.0,2779.0,120.0,ok,8.113
13458,2650.633,2711.3,2786.1,74.8,ok,7.039
8309,2675.883,2735.4,2793.2,57.77,ok,4.236
7073,2642.045,2704.7,2795.6,90.91,ok,4.635
17856,2728.016,2741.4,2798.5,57.07,ok,7.689
15078,2737.539,2745.2,2813.0,67.83,ok,7.6
13012,2527.666,2654.5,2827.2,172.69,ok,8.539
25804,2745.412,2763.0,2834.1,71.06,ok,4.923
12982,2773.726,2795.7,2843.6,47.9,ok,7.113
5114,2751.22,2786.2,2845.4,59.2,ok,6.097
11439,2752.878,2813.1,2863.2,50.14,ok,10.183
13640,2797.696,2798.6,2881.5,82.89,ok,6.505
26520,2755.508,2779.2,2889.2,110.05,ok,5.921
26614,2827.289,2834.3,2895.6,61.29,ok,8.94
25968,2825.441,2855.4,2917.5,62.1,ok,9.128
26637,2819.134,2853.7,2929.6,75.89,ok,9.588
12381,2821.078,2843.8,2946.0,102.2,ok,10.351
26373,2879.529,2905.8,2958.1,52.35,ok,8.021
7565,2790.022,2809.8,2958.8,149.0,ok,6.117
9421,2849.501,2879.8,3019.7,139.85,ok,8.089
26668,2905.684,2936.2,3053.1,116.86,ok,8.428
12518,2905.667,2924.1,3064.6,140.47,ok,7.21
26749,2819.695,2912.1,3072.1,160.05,ok,8.655
26165,2946.348,2958.2,3080.5,122.25,ok,3.917
25648,2936.215,2958.8,3098.8,139.96,ok,7.165
25937,2957.309,3019.9,3100.1,80.2,ok,6.004
9547,2945.513,2946.1,3130.5,184.42,ok,6.93
26201,2991.031,3072.4,3148.0,75.57,ok,5.987
25712,3045.984,3099.1,3151.6,52.54,ok,4.793
26712,3045.544,3100.4,3155.1,54.7,ok,4.46
15015,2998.593,3080.7,3168.7,88.0,ok,4.973
12849,2763.464,2898.0,3174.9,276.84,ok,10.042
10538,3003.689,3148.4,3191.3,42.89,ok,4.36
4399,3109.334,3155.4,3212.2,56.76,ok,5.212
11598,2991.826,3065.0,3224.9,159.92,ok,5.973
25464,3060.899,3152.0,3248.5,96.49,ok,3.61
25752,3084.989,3130.8,3266.2,135.44,ok,4.127
26353,2982.279,3169.0,3308.5,139.45,ok,5.962
14451,3035.599,3175.2,3326.1,150.88,ok,8.339
25279,3117.198,3191.5,3341.5,149.92,ok,5.478
10109,3103.546,3212.4,3355.6,143.14,ok,4.596
18457,3109.128,3266.5,3363.6,97.01,ok,3.991
25834,3304.18,3342.0,3374.6,32.62,ok,4.627
7559,3194.522,3326.6,3387.4,60.82,ok,3.888
10653,3148.637,3248.7,3395.6,146.88,ok,4.515
4693,3212.68,3356.1,3408.3,52.2,ok,4.698
16494,3121.015,3225.1,3420.1,194.99,ok,4.889
3609,2971.927,3053.4,3442.4,389.06,ok,5.639
10506,3150.443,3308.9,3443.6,134.64,ok,3.756
4601,3210.172,3364.1,3445.4,81.32,ok,4.534
25831,3318.849,3408.8,3456.4,47.57,ok,3.74
25545,3313.333,3420.6,3476.2,55.61,ok,3.748
14569,3253.148,3375.1,3487.4,112.26,ok,4.66
7488,3276.658,3396.1,3508.0,111.85,ok,4.146
26426,3294.593,3445.9,3538.4,92.47,ok,4.934
8925,3332.57,3456.7,3552.0,95.34,ok,5.137
26818,3353.144,3487.7,3556.1,68.38,ok,2.813
17970,3356.431,3476.6,3556.1,79.51,ok,3.884
11028,3355.345,3508.3,3591.4,83.09,ok,2.279
26382,3413.786,3538.8,3594.3,55.54,ok,2.67
