qid,arrival,start,finish,runtime,status,predicted_slowdown
26201,2991.031,3143.0,3177.3,34.22,ok,0.778
14451,3035.599,3091.0,3180.4,89.45,ok,0.668
26712,3045.544,3177.3,3182.7,5.43,ok,0.684
11598,2991.826,3107.2,3194.4,87.27,ok,0.774
15015,2998.593,3194.5,3214.0,19.56,ok,0.713
16494,3121.015,3180.5,3224.6,44.13,ok,0.469
12982,2773.726,3214.1,3224.7,10.65,ok,0.671
25279,3117.198,3182.7,3274.6,91.8,ok,0.692
25752,3084.989,3224.7,3277.0,52.3,ok,0.928
10109,3103.546,3224.6,3295.0,70.36,ok,0.426
4399,3109.334,3277.1,3309.3,32.21,ok,0.592
10653,3148.637,3295.0,3336.7,41.7,ok,0.556
25831,3318.849,3336.7,3344.9,8.14,ok,0.298
10506,3150.443,3309.3,3356.1,46.82,ok,0.508
25545,3313.333,3356.1,3375.0,18.89,ok,0.336
23711,3258.325,3274.6,3393.1,118.55,ok,0.244
25712,3045.984,3393.2,3396.4,3.24,ok,0.393
4601,3210.172,3396.4,3415.4,18.93,ok,0.459
7609,3315.677,3344.9,3426.5,81.57,ok,0.299
7559,3194.522,3375.1,3440.4,65.37,ok,0.544
10538,3003.689,3426.5,3456.4,29.94,ok,0.546
4693,3212.68,3456.5,3481.2,24.78,ok,0.5
17922,3284.712,3415.4,3491.6,76.22,ok,0.423
7488,3276.658,3440.4,3502.6,62.15,ok,0.341
8925,3332.57,3502.6,3519.0,16.38,ok,0.561
14569,3253.148,3481.3,3526.4,45.15,ok,0.567
18457,3109.128,3519.0,3543.8,24.75,ok,0.52
3609,2971.927,3015.6,3549.7,534.12,ok,0.76
26426,3294.593,3526.5,3569.2,42.79,ok,0.358
13012,3488.411,3491.6,3575.6,83.93,ok,0.145
15906,3441.735,3549.8,3577.3,27.56,ok,0.621
25831,3556.54,3577.4,3592.2,14.79,ok,0.328
11844,3501.421,3569.3,3610.2,40.91,ok,0.265
11028,3355.345,3592.2,3634.4,42.2,ok,0.515
26276,3437.033,3634.4,3641.6,7.16,ok,0.635
10601,3441.696,3641.6,3650.9,9.29,ok,0.676
5216,3378.651,3543.8,3653.6,109.82,ok,0.418
25834,3304.18,3653.7,3661.4,7.7,ok,0.495
26382,3413.786,3661.4,3665.6,4.2,ok,0.603
7857,3461.157,3650.9,3672.8,21.91,ok,0.66
20054,3601.227,3672.8,3688.7,15.85,ok,0.873
17970,3356.431,3688.7,3693.9,5.19,ok,0.884
26818,3353.144,3693.9,3697.2,3.28,ok,0.937
10543,3407.556,3575.6,3713.4,137.82,ok,0.41
26439,3641.74,3713.4,3739.6,26.19,ok,0.955
8309,3672.297,3739.6,3751.8,12.14,ok,1.238
26040,3547.666,3665.6,3753.8,88.2,ok,0.643
25714,3742.906,3751.8,3770.6,18.82,ok,0.042
25834,3572.537,3770.6,3775.4,4.75,ok,1.174
17922,3517.6,3610.2,3780.2,170.03,ok,0.279
4693,3731.57,3753.8,3791.3,37.48,ok,1.34
26718,3771.976,3791.3,3805.1,13.76,ok,1.191
26720,3785.655,3805.1,3817.4,12.32,ok,1.442
23470,2996.487,3775.4,3843.4,68.05,ok,1.38
15150,3735.663,3780.3,3856.7,76.47,ok,0.92
13132,3594.124,3697.2,3860.1,162.92,ok,0.948
7787,3795.263,3843.4,3861.2,17.79,ok,1.545
11334,3566.475,3905.8,3919.2,13.3,ok,1.952
26479,3839.165,3915.1,3932.4,17.29,ok,1.077
9990,3831.965,3921.6,3943.6,22.02,ok,1.263
15010,3779.911,3882.2,3960.8,78.55,ok,1.372
26022,3906.035,3976.7,4012.6,35.86,ok,0.234
18457,3945.451,3983.4,4018.5,35.05,ok,4.513
26614,4000.161,4044.6,4069.4,24.71,ok,1.458
26373,3998.137,4050.6,4078.7,28.19,ok,0.39
25315,4050.599,4069.4,4085.2,15.85,ok,1.346
4601,3947.926,4030.2,4095.1,64.87,ok,0.919
14738,4087.782,4095.1,4112.9,17.85,ok,1.237
10229,4058.238,4096.2,4124.8,28.63,ok,1.055
9614,4124.207,4124.8,4140.4,15.57,ok,0.471
7436,4126.542,4140.4,4152.3,11.91,ok,1.263
9953,4123.975,4152.3,4162.1,9.79,ok,3.041
7565,4056.651,4137.1,4219.8,82.7,ok,0.806
25435,4086.206,4171.3,4228.3,56.99,ok,8.538
9057,3929.616,4075.4,4236.4,161.01,ok,0.857
11769,4209.83,4225.2,4237.4,12.15,ok,0.472
11482,4210.997,4247.6,4274.4,26.79,ok,5.895
25384,4238.432,4252.8,4293.9,41.11,ok,2.02
17168,4233.813,4250.3,4305.1,54.75,ok,1.136
10319,4253.075,4274.4,4305.7,31.31,ok,0.126
26112,4267.905,4293.9,4333.8,39.92,ok,0.308
25425,4261.93,4333.8,4348.7,14.87,ok,1.146
26660,4284.735,4348.7,4366.8,18.09,ok,1.155
23711,4157.253,4228.8,4369.2,140.34,ok,0.478
15243,4342.408,4389.9,4416.4,26.53,ok,4.851
26210,4357.193,4387.5,4424.9,37.39,ok,1.654
25631,4260.674,4325.8,4445.4,119.54,ok,0.547
13805,4411.678,4424.9,4452.7,27.72,ok,1.297
26256,4399.997,4445.4,4480.5,35.16,ok,1.138
7488,4430.105,4452.7,4508.7,56.06,ok,1.53
18011,4447.405,4508.7,4514.8,6.05,ok,1.004
25320,4426.092,4514.8,4541.2,26.37,ok,1.049
26787,4389.957,4416.4,4578.9,162.41,ok,1.167
26522,4296.176,4326.4,4582.5,256.05,ok,0.787
10653,4457.779,4541.2,4593.5,52.32,ok,0.988
25882,4578.451,4578.9,4602.8,23.92,ok,0.723
26025,4556.536,4593.5,4669.5,76.0,ok,0.904
26456,4619.221,4669.5,4684.3,14.74,ok,0.036
10109,4456.358,4582.5,4687.9,105.43,ok,0.634
10543,4515.262,4602.8,4711.3,108.51,ok,1.019
25397,4452.487,4480.5,4714.3,233.76,ok,0.098
25783,4565.045,4688.0,4732.6,44.61,ok,0.735
25344,4660.684,4711.4,4735.8,24.44,ok,0.827
26067,4712.569,4732.6,4759.1,26.45,ok,0.28
26005,4599.067,4684.3,4761.3,76.96,ok,0.755
12050,4559.265,4761.3,4769.0,7.75,ok,0.494
26810,4536.692,4759.1,4779.4,20.28,ok,0.463
25968,4564.604,4769.1,4783.6,14.53,ok,0.528
4291,4571.793,4783.6,4797.8,14.14,ok,0.645
25871,4554.947,4779.4,4809.5,30.02,ok,0.555
4741,4591.101,4797.8,4832.1,34.35,ok,0.626
26805,4636.213,4832.2,4841.4,9.27,ok,0.542
15049,4586.901,4809.5,4871.0,61.53,ok,0.597
26783,4616.243,4871.0,4879.3,8.27,ok,0.448
26658,4703.338,4735.8,4885.7,149.86,ok,0.456
17817,4772.821,4879.3,4895.5,16.13,ok,0.53
25498,4570.926,4841.4,4899.9,58.5,ok,0.522
6373,4688.1,4900.0,4910.8,10.89,ok,0.554
15832,4643.445,4895.5,4922.5,27.01,ok,0.614
26496,4763.432,4910.9,4934.2,23.29,ok,0.627
4383,4729.056,4934.2,4943.5,9.3,ok,0.696
25545,4900.409,4922.5,4954.4,31.9,ok,0.736
25629,4671.011,4885.7,4974.1,88.4,ok,0.386
5114,4789.773,4943.5,4981.4,37.89,ok,0.793
12849,4684.137,4714.3,4995.6,281.22,ok,0.304
13458,4622.108,4974.1,4999.0,24.83,ok,1.022
4399,4790.924,4981.4,5017.5,36.08,ok,0.649
8569,4834.495,4999.0,5027.4,28.45,ok,0.738
15697,4777.909,4954.4,5030.2,75.8,ok,0.815
14674,4954.805,5030.2,5044.0,13.78,ok,1.406
11082,4905.741,5071.1,5118.3,47.21,ok,0.548
14051,4986.938,5105.4,5130.9,25.52,ok,4.91
9876,5097.57,5126.1,5141.7,15.64,ok,1.879
11810,5135.26,5141.8,5166.1,24.37,ok,5.181
11968,4972.388,5056.9,5178.5,121.61,ok,0.597
12518,4981.543,5088.8,5197.3,108.51,ok,0.685
9000,5141.93,5197.3,5214.9,17.57,ok,0.763
7609,5128.056,5130.9,5238.2,107.32,ok,0.376
8812,5147.192,5214.9,5245.8,30.92,ok,1.34
26508,5165.548,5166.1,5272.1,106.01,ok,0.123
