qid,start,runtime,status
5085,4570.8,600,penalty
14034,4575.3,600,penalty
14553,4519.8,83.36,ok
25250,4434.5,173.51,ok
25403,4608.3,27.1,ok
11345,4635.9,1.18,ok
13307,4638.2,9.47,ok
14628,4603.7,48.32,ok
11540,4637.7,26.8,ok
10678,4654.5,23.48,ok
9752,4678.3,600,penalty
14809,4665.3,17.23,ok
25683,4648.4,41.49,ok
13805,4682.9,17.99,ok
12388,4701.3,19.82,ok
11769,4721.6,12.59,ok
8156,4734.5,7.27,ok
15614,4740.2,16.01,ok
25496,4742.3,600,penalty
12346,4645.3,131.06,ok
17922,4776.8,56.96,ok
25251,4821.1,13.31,ok
25689,4834.8,4.5,ok
19605,4834.2,38.84,ok
10614,4873.4,10.76,ok
7802,4884.6,600,penalty
13438,4756.6,166.93,ok
14677,4690.3,249.67,ok
25492,4924.0,22.72,ok
10074,4940.5,8.69,ok
25781,4949.7,14.23,ok
3924,4954.1,36.41,ok
25701,4947.1,48.19,ok
3050,4991.0,15.43,ok
25246,5006.9,8.34,ok
13912,4995.7,19.89,ok
12846,5016.0,7.29,ok
22951,5015.7,600,penalty
25447,4839.6,248.49,ok
12269,4964.2,127.8,ok
12511,5023.7,95.38,ok
25593,5088.7,46.24,ok
10073,5119.4,30.61,ok
12245,5150.4,8.98,ok
10639,5135.3,26.51,ok
15889,5159.8,7.89,ok
12878,5092.4,85.26,ok
10110,5168.1,29.58,ok
11112,5198.1,3.01,ok
9179,5201.5,26.8,ok
10319,5114.8,120.55,ok
25434,5235.8,600,penalty
11417,5162.4,84.0,ok
9398,5228.7,600,penalty
16177,5178.0,86.29,ok
6373,5264.7,11.26,ok
10499,5246.8,69.46,ok
10330,5313.9,10.1,ok
10549,5316.6,12.52,ok
5123,5329.6,3.6,ok
12150,5324.3,31.4,ok
25752,5300.7,144.28,ok
18997,5445.4,600,penalty
10664,5333.6,145.79,ok
19844,5356.1,141.22,ok
25283,5497.8,600,penalty
13678,5479.8,47.79,ok
25397,5276.4,251.45,ok
15697,5528.4,35.07,ok
10893,5564.0,24.47,ok
17175,5510.7,84.04,ok
10533,5577.0,18.92,ok
13593,5596.4,11.03,ok
17087,5595.3,23.53,ok
25702,5607.9,600,penalty
25377,5619.4,12.12,ok
18656,5589.1,52.19,ok
7653,5632.0,24.38,ok
19169,5656.9,35.66,ok
10237,5528.1,600,penalty
13612,5693.5,600,penalty
16434,5693.0,600,penalty
13133,5641.7,115.64,ok
4722,5769.5,15.04,ok
11235,5769.5,25.43,ok
25562,5770.5,28.37,ok
14409,5785.2,20.74,ok
14578,5795.4,16.18,ok
11584,5799.2,31.87,ok
19122,5812.2,43.46,ok
25559,5856.2,4.41,ok
9924,5757.6,119.29,ok
7308,5831.6,58.02,ok
16989,5806.4,83.25,ok
10335,5890.0,25.52,ok
25263,5890.3,600,penalty
14672,5861.1,68.18,ok
12661,5916.0,600,penalty
12465,5877.7,83.22,ok
11807,5930.9,60.32,ok
13790,5961.3,68.44,ok
10555,6008.2,33.77,ok
16107,5991.8,50.27,ok
3585,6042.4,9.7,ok
12950,6030.1,24.49,ok
11565,6052.6,15.43,ok
13615,6068.4,2.7,ok
14607,6055.1,17.72,ok
11798,6073.3,3.9,ok
2843,6077.5,600,penalty
11216,6042.6,54.18,ok
9594,6097.3,3.02,ok
10322,6071.5,52.36,ok
25679,6100.7,28.06,ok
4886,6149.0,600,penalty
25448,6124.4,34.64,ok
11631,6129.3,65.02,ok
14464,6008.0,198.41,ok
13292,6159.4,75.7,ok
17536,6235.5,5.24,ok
11007,6194.7,46.12,ok
13509,6241.7,4.73,ok
16115,6246.8,39.3,ok
6607,6220.7,72.17,ok
11968,6241.2,52.19,ok
18294,6293.7,2.33,ok
11100,6286.7,13.27,ok
13276,6293.4,19.49,ok
25315,6296.7,17.21,ok
14691,6313.3,12.96,ok
25750,6300.4,26.3,ok
13282,6314.3,12.94,ok
25718,6206.9,124.45,ok
12526,6326.6,11.65,ok
10189,6327.3,37.23,ok
15776,6328.3,600,penalty
11182,6364.9,10.87,ok
25342,6339.1,47.42,ok
7393,6376.2,32.57,ok
25715,6409.2,20.0,ok
7175,6332.2,600,penalty
11883,6431.7,600,penalty
10122,6386.9,600,penalty
11855,6502.7,27.39,ok
17168,6502.6,95.56,ok
15338,6598.7,600,penalty
11215,6502.7,120.83,ok
24380,6530.6,111.96,ok
14222,6624.0,57.04,ok
25563,6667.9,32.05,ok
6383,6681.4,25.01,ok
7203,6700.6,5.93,ok
15877,6706.9,37.96,ok
25395,6643.0,114.23,ok
25507,6706.8,52.73,ok
17870,6745.4,19.76,ok
25284,6759.9,14.01,ok
15243,6765.6,8.46,ok
7255,6774.2,3.12,ok
12384,6777.6,10.45,ok
13352,6788.4,22.09,ok
25435,6774.8,36.8,ok
11804,6810.8,17.01,ok
9000,6811.9,33.65,ok
19434,6828.1,35.84,ok
10914,6864.3,6.05,ok
14549,6870.8,2.66,ok
14468,6873.9,31.52,ok
12083,6429.6,482.43,ok
15619,6906.0,7.1,ok
4676,6912.7,9.08,ok
10225,6913.9,15.19,ok
10548,6922.1,600,penalty
15503,6846.0,600,penalty
9862,6757.7,600,penalty
11446,6962.0,26.01,ok
10501,6988.3,2.1,ok
18457,6994.3,26.78,ok
15508,6994.1,29.01,ok
6158,7021.4,6.98,ok
13516,7028.9,6.4,ok
10334,6990.7,48.73,ok
12805,7035.7,14.01,ok
12237,7039.9,13.66,ok
25324,7050.1,600,penalty
7346,6994.3,600,penalty
13920,7054.0,600,penalty
4464,7121.9,33.43,ok
15046,7121.8,74.82,ok
25582,7121.9,77.46,ok
18706,7197.2,4.98,ok
25691,7202.6,17.46,ok
7306,7199.8,22.81,ok
15015,7155.6,78.01,ok
16119,7223.1,36.61,ok
22838,7260.1,17.74,ok
25433,7234.1,110.83,ok
13591,7345.4,34.07,ok
15662,7379.9,2.75,ok
10696,7383.0,27.94,ok
13827,7411.4,3.04,ok
11063,7278.4,137.4,ok
12293,7023.4,401.56,ok
11518,7415.0,17.16,ok
13587,7425.3,10.04,ok
13063,7435.7,600,penalty
16299,7432.6,600,penalty
25415,7220.4,220.99,ok
16846,7441.9,2.59,ok
7559,7444.9,15.23,ok
11778,7460.5,17.78,ok
23615,7416.2,63.68,ok
6279,7500.7,600,penalty
8474,7480.7,49.94,ok
10316,7531.0,15.01,ok
25780,7546.3,3.21,ok
12467,7550.0,600,penalty
10563,7478.6,86.68,ok
25756,7566.6,14.77,ok
14507,7581.8,11.77,ok
25396,7593.9,34.65,ok
17190,7613.1,18.8,ok
12891,7629.0,13.97,ok
13808,7632.3,12.91,ok
9511,7643.5,5.21,ok
25487,7649.2,600,penalty
9210,7645.7,57.95,ok
16761,7565.6,153.19,ok
10821,7704.0,34.81,ok
25672,7500.7,239.5,ok
10872,7740.7,19.07,ok
11912,7728.8,41.81,ok
9669,7771.3,18.93,ok
25392,7739.2,600,penalty
21150,7719.1,106.93,ok
12735,7760.3,76.69,ok
15906,7826.4,24.53,ok
9012,7837.4,28.15,ok
14320,7865.9,600,penalty
16386,7935.0,20.19,ok
12280,7851.4,106.66,ok
5529,7868.7,600,penalty
16410,7958.5,58.68,ok
5365,7790.9,258.62,ok
14725,7955.6,95.26,ok
12533,8049.8,21.71,ok
8004,8051.3,31.25,ok
16547,8072.0,27.49,ok
25622,8017.6,87.89,ok
14160,8099.8,6.68,ok
13162,8107.0,21.08,ok
11028,8105.8,45.71,ok
15020,8151.9,2.56,ok
10526,8154.8,18.56,ok
12951,8173.8,18.02,ok
3955,8082.9,117.99,ok
14066,8192.2,10.0,ok
10407,8202.6,2.44,ok
13123,8128.5,600,penalty
11087,8055.6,600,penalty
25771,8205.4,600,penalty
17789,8201.3,54.47,ok
16462,8256.1,2.64,ok
13055,8259.1,1.82,ok
10601,8261.2,6.74,ok
19490,8272.8,6.46,ok
11895,8272.8,600,penalty
4412,8268.3,23.88,ok
7587,8280.0,23.78,ok
15217,8304.2,14.37,ok
8487,8347.5,600,penalty
6135,8319.0,74.52,ok
9447,8292.6,110.61,ok
23616,8403.7,30.94,ok
13114,8277.3,163.3,ok
25048,8435.1,600,penalty
7520,8441.0,600,penalty
9421,8393.9,600,penalty
14719,8511.7,92.91,ok
13877,8511.7,106.97,ok
5069,8605.1,19.21,ok
9553,8511.8,113.73,ok
5076,8625.9,3.03,ok
10688,8619.7,20.02,ok
15078,8624.8,15.01,ok
7254,8629.2,16.67,ok
14695,8640.5,20.26,ok
23340,8661.2,8.98,ok
25632,8670.6,600,penalty
8569,8646.2,31.48,ok
6289,8678.1,26.81,ok
17970,8705.5,8.34,ok
25419,8714.3,17.62,ok
7234,8411.2,340.85,ok
11982,8737.5,19.55,ok
10173,8752.5,10.19,ok
12545,8757.4,18.8,ok
25271,8776.7,6.56,ok
25736,8763.1,29.78,ok
7316,8783.6,600,penalty
9956,8793.4,30.57,ok
17697,8824.3,14.5,ok
25365,8863.1,600,penalty
10506,8839.2,39.31,ok
5254,8732.4,151.23,ok
10796,8640.1,247.67,ok
7502,8884.4,37.73,ok
23626,8878.9,49.26,ok
25526,8922.5,7.52,ok
15832,8928.5,4.49,ok
3752,8888.6,57.76,ok
12457,8933.4,21.72,ok
